,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__activation,param_mlp__alpha,param_mlp__hidden_layer_sizes,param_mlp__solver,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
290,0.8190786838531494,0.022976196946656376,0.009291362762451173,0.0008701421146783846,relu,0.001,"(32,)",adam,20,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (32,), 'mlp__solver': 'adam', 'pca__n_components': 20}",0.5541666666666667,0.5291666666666667,0.5375,0.6125,0.5666666666666667,0.5599999999999999,0.029297326385411594,174
291,1.0866885662078858,0.030489711471778865,0.015990447998046876,0.002127012842552658,relu,0.001,"(32,)",adam,40,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (32,), 'mlp__solver': 'adam', 'pca__n_components': 40}",0.5583333333333333,0.5125,0.5416666666666666,0.5833333333333334,0.5833333333333334,0.5558333333333334,0.026822461565718502,202
292,1.369992971420288,0.03188323032366631,0.018978357315063477,0.0009242530221607889,relu,0.001,"(32,)",adam,60,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (32,), 'mlp__solver': 'adam', 'pca__n_components': 60}",0.6,0.5625,0.5791666666666667,0.5416666666666666,0.5708333333333333,0.5708333333333333,0.019184774055368906,82
293,1.6825266361236573,0.023415624651237726,0.02388920783996582,0.0025043885285239926,relu,0.001,"(32,)",adam,80,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (32,), 'mlp__solver': 'adam', 'pca__n_components': 80}",0.5916666666666667,0.5583333333333333,0.5416666666666666,0.55,0.5291666666666667,0.5541666666666666,0.0210818510677892,221
294,1.4978382110595703,0.022359779550179395,0.032625675201416016,0.0012276791658647154,relu,0.001,"(32,)",adam,100,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (32,), 'mlp__solver': 'adam', 'pca__n_components': 100}",0.5916666666666667,0.5458333333333333,0.5416666666666666,0.5791666666666667,0.5458333333333333,0.5608333333333333,0.02051422270848532,169
295,0.7844128608703613,0.02609144159052041,0.009881830215454102,0.0018045210519516484,relu,0.001,"(32,)",sgd,20,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (32,), 'mlp__solver': 'sgd', 'pca__n_components': 20}",0.6083333333333333,0.5166666666666667,0.575,0.5958333333333333,0.6083333333333333,0.5808333333333333,0.0343187671366233,26
296,1.0597472190856934,0.022410677398171253,0.016561365127563475,0.0028115827508300244,relu,0.001,"(32,)",sgd,40,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (32,), 'mlp__solver': 'sgd', 'pca__n_components': 40}",0.5666666666666667,0.525,0.5208333333333334,0.5416666666666666,0.6,0.5508333333333334,0.02939198681424731,245
297,1.352848720550537,0.03789626922276686,0.01947188377380371,0.0031734654114434087,relu,0.001,"(32,)",sgd,60,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (32,), 'mlp__solver': 'sgd', 'pca__n_components': 60}",0.5916666666666667,0.5333333333333333,0.55,0.625,0.5791666666666667,0.5758333333333333,0.032102267140430366,49
298,1.671395444869995,0.015242624632266787,0.02393512725830078,0.004289658458025852,relu,0.001,"(32,)",sgd,80,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (32,), 'mlp__solver': 'sgd', 'pca__n_components': 80}",0.5833333333333334,0.5041666666666667,0.5375,0.55,0.6041666666666666,0.5558333333333333,0.035019835649084494,208
299,1.5071446895599365,0.030184125519142024,0.02855648994445801,0.002848613292482818,relu,0.001,"(32,)",sgd,100,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (32,), 'mlp__solver': 'sgd', 'pca__n_components': 100}",0.5833333333333334,0.5083333333333333,0.5708333333333333,0.5875,0.575,0.5650000000000001,0.02893959225697558,132
300,2.5053267955780028,0.03940926840761181,0.01349954605102539,0.001411271443077845,relu,0.001,"(128, 128)",adam,20,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (128, 128), 'mlp__solver': 'adam', 'pca__n_components': 20}",0.5708333333333333,0.6,0.5083333333333333,0.6125,0.5958333333333333,0.5775,0.037137133258595335,37
301,2.8731568813323975,0.06340300604539957,0.019258975982666016,0.0027770072411081098,relu,0.001,"(128, 128)",adam,40,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (128, 128), 'mlp__solver': 'adam', 'pca__n_components': 40}",0.5625,0.575,0.5375,0.575,0.6083333333333333,0.5716666666666667,0.022882550362909954,72
302,3.2547810554504393,0.0501695977356223,0.021628189086914062,0.0020193533423432395,relu,0.001,"(128, 128)",adam,60,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (128, 128), 'mlp__solver': 'adam', 'pca__n_components': 60}",0.5291666666666667,0.575,0.5541666666666667,0.5916666666666667,0.575,0.5650000000000001,0.021505813167606556,132
303,3.6995153427124023,0.04911992085033343,0.02808699607849121,0.0023488548123871606,relu,0.001,"(128, 128)",adam,80,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (128, 128), 'mlp__solver': 'adam', 'pca__n_components': 80}",0.6166666666666667,0.5666666666666667,0.5708333333333333,0.575,0.6166666666666667,0.5891666666666666,0.02260776661041759,9
